bottomless	اتھاہ اگم بے پیندہ
solicitation	اِبرام اِستدعا اِلتجا اِلحاح اِلحاف بِنتی خواست سماجت طلب عرض التجا
liberate	اُبرانا آزاد آزادہ پُھٹانا چُھٹا چُھٹانا خلاص رستگار رِہا کھولنا مُخلّیٰ مُستخلص موچن ناجی یلہ کرنا بچانا
cold	ابرد برد ٹھنڈ ٹھنڈا جل خُنک زُکام زُلال زمہریری سرددل سردی سفّاکانہ سِیت سِیتل شِیت شِیتل بارِد سرد نزلہ سفاکی بے حس سفاک خونی لاتعلقی مہری خانہ دم خنک مہر زکام
frigid	ابرد بارِد ٹھنڈا جل زمہریری شِیت شِیتل سرد بانجھ مہر
piebald	ابرش ابلق چِتکبرا کبرا
talc	ابرق چِلچِل طلق
ornament(s	ابرن
jewellery	ابرن آبھُوشن بری پاتا ٹُوم جِنس جوکھم رقم زیور فرخار گہنا گہنے جڑاو جواہرات
dandruff	اِبری بفا بھُوسی حزاز خُشکی سبُوس خشکی
silk	ابریشم افریشم بریشم پاٹ حرِیر قز ریشم حریر
silken	ابریشمی اِستبرقی حرِیری ریشمی
ewer	اِبریق آفتابہ جھاری سبُو ابریق قرابہ
pandemonium	ابڑدھبڑ اُپدرَو بھرّا چمارچودس
weak	ابس ابلا بودا پرقینچ پِنگا پُھسکا تانتڑی تِنکا جُھونا چرپُوز چُرمُر چمچڑک چُون چِھپٹی خستہ دُبلا دبُّو دلبا ڈھچر زار زبُوں سُبک سپید سُتا سُست سِینکیا شِکستہ ضعیف عاجِز فاتِر فِروماندہ قصِف کاہیدہ کچّا کُھوسٹ لاغر لٹا لچر لقّات ماٹھا ماڑی مدقُوق مرتل مرجھِلّا مُردہ مرگِلا مری مریل مُضمحل ناطاقت نِبل نِربل نقیہ نِمانا نملی واہی ہونّق پتلا کمزور ماڑا ناتواں نحیف فقدہ شدہ لاحول لبیضاء صنف نازک کم زور ترین بے ارادہ بزدل ذہن سبک مغز عاجز بس طاقت فاتر کچا مردہ پھس پھسا پلپلا
intractable	ابس حارُونی ضِدّی کُڈھب بے لگام دشوار ڈھیٹ ہٹیلا منہ زور ناقابل تسلط ضدی
powerless	ابس اُفتادہ پاشکستہ لاچار معذور ناتواں نِبل نِربل بے دم طاقت عاجز کم زور مجبور
unrestrained	ابس سوَتنتر طلَق طلیق گہلا مُطلق آزاد بے قابو
disobedient	ابس سرزور سرہنگ عاصی عاق مُتمرِّد مچلا مرید مُستعصی مُعانِد نافرمان ناخلف سرتاب
putrefy	اُبسنا اُمسنا بِجبجانا بُسنا
view	ابصار آرا دانست درَس درش دِرِشٹ دِکھائو دِیدار سماں سمجھ سَیر عِندِیہ مظہر مقصود منظر نجر نِرکھنا نظّارگی نظارہ نِگاہ نظر سیر بینی دیکھنا غور کرنا جائزہ لینا جانچنا سمجھنا منشا قصد رائے تاک طرز فکر
look	ابصار انظار آکار آنکھ بِین تاکنا تک تیور ٹک ٹِیپنا چِتوَن درَس درش دیکھ ڈِیٹھ ڈِیٹھنا زیب شِیشہ کرِشمہ مِراَۃ مُلاحظہ نِگاہ نِگران نِگہ ورن آئینہ رنگ نظر دیکھنا نگاہ مشا بھال کرنا رکھنا نگرانی سنبھالنا کسی کو حقارت سے ڈھونڈھنا تلاش نگران ڈالنا چتون تاک
understand	ابصار اخپخ اِدراک اِستدراک بصارت بصیرت بنائو بُوجھ بُوجھنا پالینا پانا پہچاننا پہنچنا تاڑ تاڑنا تفہُّم جانا جاننا چِت چیتا چیتنا خِرد دان دانست دھی ذِہن ساز سمجھ سمجھنا شُعُور فہم فہمیدگی کھوپڑی گیان لکھنا مت مُدرِکہ مُفاہمت نُس وِدّیا وقف وُقُوف ہنگ ہوش عاقل بصیر برد بار فہیم دار ذہین عقل باری مظہر فراست ادراک مغز قرارداد سمجھوتہ ذہانت بوجھ لینا مقصد مطلب فرض کیا ہوا مقدر پہلے سے مانا
procrastination	اِبطا تاخیر تراخی تسویف تعلُّل تعویق لارالپّا آج کل
hero	ابطال بطل بِیر پہلَو جودھا راوت ساونت سُور سُورما گُرد مرد وِیر یل بہادر غازی
rebuttal	اِبطال تردید رد انکار
refutation	اِبطال اِستنکار اِنفائیّت بُطلان تغلیط تنقیض توڑ رد قدح کھنڈن مُکر تردید انکار
dimension	ابعاد النگ اِمتداد بُعد پاسا جسامت جِہات جِہت سمت مِقدار نوال ناپ پیمائش وسعت
distance	ابعاد انتر بُعد بَون بَین پلّا پھیر تفاوُت ٹاری ٹپاّ ٹپّہ دُور دھاپ دھپّا سِپّا فاصلہ فصل مسافت مُفاصلہ دُوری بیچ دوری فرق فراق پلا
farth	ابعد
far	ابعد اُدھر اِستبعاد اقصیٰ بدرجہ بعید دوربین پر حزم دُور دِیگر سُوجھ قاصی مُستبعد مُستعبد ناقابلِیقین ورے آگے مزید فار سے گے دور دراز آخر بین اگلا دیگر دوسرا پرے ورا
preservation	اِبقا بچائو تحفُّظ حِفاظت حِفظ حِفظان رکشا صِیانت نِگہداشت
perpetuation	اِبقا دوام
prolongation	اِبقا اِستطالت اِطالت اِطناب اِمتداد بڑھائو تمادی تمدُّد تَوسیع مد توسیع طوالت
virgin	ابکار باکِرہ بتول دُختر عاتِق عذرا کلی کُنواری کنیا کوری مریم ناسُفتہ دوشیزہ معصوم نئی زمین تازہ اچھوتا اصلی حالت میں بے داغ جتا دوشیزگانہ خالص کورا عفیفہ باکرہ کنہیا کچا اون
retch	اُبکائی اُکھال تہوُّع ڈاکنا کُونتھنا ابکائ
nausea	اُبکائی اُچھال اروا اروے اُکھال اِمتلا رد غثیان گِھن مالش متلاہٹ متلی ملکاہٹ غسیان حقارت کراہت ابکائ
dumb	ابکم بُت بغلی بُکم جوڑی دربستہ عجم گُنگ گُونگا لال مبہُوت دم بخود بے زبان گونگا
disgorge	اُبکنا
expel	اُبکنا اُکھاڑنا بِڈارنا تنافی خارِج راندنا راندہ رجم شہر بدر در کرنا خارج نکالنا
vomit	اُبکنا اِستفراغ اُکھال اُکھالنا اُگلنا اُلٹنا اِمتلا اوکنا چھانٹ چھانڈ چھانڈنا ڈاکنا ڈوک ڈوکنا ڈونکنا رد قَے ملکاہٹ اُلٹی قیئ کرنا اگل دینا جی برا ہونا قئے پڑنا
camel	اِبل اُشتُر اُونٹ بعیر جمل ردیف سار ساربان شُتر شتر سوار اونٹ اونٹنی
delicate	ابلا باریک بتیّا پتلا پھُلروا تُنک چوجی چھمّک چِھین دقیق رقیق سُتواں سُکوار کاغذی کومل گُلفام لطیف مرمریں مِشٹ ملُوک نازک نازنین ناعِم نِربل نفیس نِکّا ہِیرا ہلکا دھان پان گل اندام بدن لوچ دار سبک
woman	ابلا اِناث اُنثیٰ اُنُوث بالا بیرّ تِریا تِیا جنی حرِیم خواتین رن رنڈی زنان زنانی ژال عَورت لُگائی مراَۃ مستُورہ مُسمّاۃ مہرِیا مہِلا نار ناری نِسا نِسوات زن عورت رفیقہ عورتیں
weakness	ابلاپا اِسترخا اِضمحلال اُفتادگی بوداپن تضعیف جھول خامی دبلاپا/پن ضُعف ضعیفی فُتور کمزوری ناطاقتی نحافت نقاہت وصمت لاغری ناتوانی اسقام جھال کم زوری نقص ضعف
delicacy	ابلاپا باریکی پتلائی پدارتھ چکَھوتی چوج چھند کوملتا لطافت نازُکی نزاکت لذت لوچ نعمت
communication	اِبلاغ اِستعلان تبلیغ ساز تکمیل ارتباط اجلاس آمد و رفت مراسلہ ربط ضبط
send	اِبلاغ اِرسال بِھجوانا بھیجنا پٹھانا ترسیل فِرِستادہ کُھندانا مُرسلہ جیسا بلوانا منگانا منگوانا رخصت کرنا روانہ واپس کردہ معبوث
convey	اِبلاغ اِیصال رساں پہنچانا
obvious	ابلج پَیدائی صادِق صرِیح ظاہِر ظاہِرہ فاش مُترشِّح مستبین ناطِق واضِح ہُوَیدا عیاں معلوم واضح ظاہر
prominent	ابلج اُجاگر اَدل رَوشن سرکردہ سُہیل نُمایاں مشور ممتاز نمایاں ظاہر
vivid	ابلج بولتا بیّن پررنگ شوخ تیز واضح
mottled	ابلق کابر دھبوں والا
swell	اُبلنا اُبھار اُبھرنا اپھار اُپھان اپھر اُٹھنا اُمڈنا اُمگا اُمنڈنا اِنتفاخ آماس بٹیا بڑھائو بڑھنا بھبھرانا پُھلاوٹ پُھلاؤ پُھولا پُھولائو پُھولنا تھُتھانا ٹھاٹھا چِکنیا سُوجا سُوجن سُوجنا گُمڑا گومڑا ماس نفخ ورم اَورام گمڑا سوجن موج زن کھلنا پھول جانا پھولنا روٹیاں لگنا سوجنا آنا امنڈ پھلانا امنڈنا
rise	اُبلنا اُبھرنا اُپرانا اُٹھا اُٹھان اُٹھتا اُٹھنا اُچھلنا اُگنا اُمنڈنا انگیزش باڑھ برآمد بڑھتا بڑھنت بڑھیّا بِلنگنا پُھوٹنا ٹھاٹھا ثَوران چڑھ چڑھا چڑھان چڑھتا چڑھتی چڑھواں خیز خیزاں خیزش خیزی دمنا سُوجنا طالِع عُلُو فروغ قُم گُل گُلاب گُلبُن نِکلنا ورد بڑھنا چڑھنا فرو ار ارتقا تک گُلابی گُلفام گُلگوں نکلنا بغاوت کرنا اوپر آنا تارا چمکنا اٹھنا اٹھ کھڑا ہونا عروج طالع اچک جامن گلستان گل گلاب
silly	ابلہ اچُت اُلٹا بِللّا بُلہ بمبُوق بودلہ بُودم بھکوا پاگل ٹِلّم جھلّا چِبِلاّ چُوتِیا خندی ڈونگا ڈھکّن زٹل گدھی گول گیگلا لُر مُہمل ناسمجھ نامعقول ہبنق ہرزہ ہونّق یاوہ بچکانا بدھو پگلوٹ
stupid	ابلہ اچُت بانگڑو بِللّا بُلہ بَونگا بھکّو بُھگڑی بھوندو بھَونکڑ بھونگا جڑ چرپُوز چمقل چُوتِیا خبنا خر ڈھینکا ڈِھینگ راعِن زٹل سادہ سفیہ شِیت عاطِل غبی کُبُدّھی کورا کُوڑھ گستانگر گِیدی گھاگس گھامڑ لدّھڑ لُر لُل للُّو لُونبڑ ماچاخر مخنچو مُدمّغ مُورکھ مُوڑھ نافہم ہبنق ہولُو ہونّق احمق ٹھس احمقانہ ان گھڑ بے خبر وقوف چغد دماغ لر پھوئڑ
foolish	ابلہ ابُوجھ اچُت احمق اگّیانی اُلٹا اﷲکانور اَوندھا ایانا باولا بجر بِللّا بُلہ بوالعجب بودلہ بیوقوف بُھچ بھکّو بھوندو پولا جڑ جل جھلّا چپڑ چرخا چکرم چُوتِیا حونّق خبطی خبنا خر خیلا دانگر ڈونگا سادہ سفیہ غرچہ گستانگر گول گھامڑ لُمبڑ مالایعنی ماچاخر مُتھرا مُدمّغ موٹا مُورکھ مُوڑھ ناسمجھ نادان واہی ہولُو ہونّق احمقانہ اناپ شناپ بے ہودہ لچر لر پاگل
silliness	ابلہی بلہ خُرافت نامعقولیت
foolishness	ابلہی اگّیان بلاہت بیوقوفی تامس جہل حماقت حُمق دُرمتی سخافت سفاہت ناسمجھی نادانی خبط لچر پن پاگل
lucifer	اِبلیس
satan	اِبلیس اہرمن شَیطان طاغُوت عزازیل ملعُون شیطان
devilry	اِبلیسیت شَیطنت
satanism	اِبلیسیت
roguery	اِبلیسیت چتُرائی حرمزدگی
son	اِبن ابنا باوا بِٹوا بچّہ برخوردار بِن بنی پاہُن پُتر پُتوا پِسر پُوت پُور پُونگڑا پیارا تثلیث ثمر جات جام جایا جِگر جمائی جنا جنٚوائی چاند چراغ چَھونا ختن خویش دم صاحِبزادہ ظُہُورا فرزند کُمار لال لالہ لڑکا لعل للّا لَونڈا موالید مَولُود ور ولد وِیر بیٹا داماد اولادیں بیٹے اولاد ابن خلف لخت جگر پسر پوت
people	ابنا اشخاص اقوام اُمّت اُمم اُمّہ اُناس انام انفُس آباد آدمی بندگان تبار جگ جگتیَ جماہیر جمہور جنتا خلائق خلق خلقت دم دُنیا شعب طوائف لوک لوگ مردُم مِلّت ناس نُفُوس اہل عوام مخلوق مردم پرجا قوم زمانہ
