english	urdu
anarchy	اندھیرا گڑ بڑ غدر ہڑ بونگ طوائف الملوکی
anathema	لعن لعنت
ancestor	جد سلف
ancestral	آبائ جدی پدری
ancestry	سلسلہ نسب
anchor	لنگر
ancientness	قدامت
ancient relics	آثار قدیمہ
ancient	عتیق دیرینہ پارینہ پرا چین پیشین پرانا قدیم
ancillary	امدادی مدد گاری
and	اور پھر
anecdote	چٹکلا حکایت نقل قصہ
anew	دو بارہ پھر سے مقرر
angelic	فرشتہ صفت
angel	فرشتہ سروش
anger	آگ عتاب گرمی غصہ خفگی حرارہ جلال جلاپا خشم تن پھن طیش ابال ژیان غصہ دلانا غصہ آنا
angle	گوشہ کونا زاویہ
angrily	غصے سے
angry	بھپرا ہوا خفا ناراض
anguish	الم عذاب بے چینی کرب کوفت رنج
anile	ڈھڈو پگلوٹ
anil	نیل نیل کا پودا
animadversion	ملامت
animal like	کلنعام
animal	چوپایہ حیوان جانور وحشی
animist	مظاہر پرست
animosity	بیر بغض دشمنی لاگ پرخاش
animus	بیر مقصد مراد نیت
anisette	اجوائن کی شراب
anise	اجوائن
anklet	کڑا پایل
ankle	گٹا ٹخنا
annalist	مورخ
annals	تاریخ واقعہ
annexed	لاحق متعلق
annex	جوڑنا ملحق کرنا شامل کرنا
annihilated	فنا نابود
annihilation	بربادی فنا ہلاکت نیستی قلع قمع
annonated	مشرہ
annotation	شرح
annotator	شارح
announcement	اعلان پکار
announce	اعلان کرنا سنانا
annoyance	چھیڑ جھنجھلاہٹ ناراضی
annoyed	آزردہ ناراض
annoying	آزاردہ
annoy	چھیڑنا پریشان کرنا تنگ کرنا
annulus	حلقہ
anoint	چپڑنا مرہم لگانا
anomalous	انوکھا بے قاعدہ شاذ
anomaly	عدم نظام بے قائدگی
anon	عنقریب فوراً
anonymity	بے نامی گمنام باشی
anonymous	بے نام گمنام نام نادہندہ
another	اور دیگر دوسرا
answerable	جواب دہ ذمہ دار
answer	جواب دینا جواب
antagonism	بیر دشمنی لاگ رقابت
Antarctic Ocean	بحر منجمد جنوبی
Antarctic	قطب جنوبی
anteater	چونٹی خور
ante bellum	جنگ سے پہلے
antecedent	سابق
antechamber	ڈوڑہی پیش دالان
antenatal	قبل از پیدائش
anterior	سالف
ante	ادائ لگایا گیا داؤ
anthem	ترانہ
anther dust	زر
anthrax	دنبل راج پھوڑا
anthropology	انسانیات
antibody	تریاق چہ ضد جسم
antichrist	دجال مسیح دشمن
anticipant	منتظر
anticipate	امید کرنا توقع کرنا
anticipation	امید
anticlerical	کلسائت دشمنانہ
anticlimax	پستی تنزل
antic	انوکھا بھنڈ چال داوں مسخرہ
antidotal	تریاقی
antidote	علاج نوش تریاق توڑ
antilogy	ضد
antimony	کحل سرمہ
antipathy	کراہت ناپسندی
antipodal	برعکس دوسری طرف کا متقابل
antiquarian	عتیقہ شناس پاستانی قدامتی
antiquated	عتیق قدیم
antique	عتیق کہنہ پارینہ
antiquity	قدامت
antithesis	مخالفت تضاد ضد
antithetical	متضاد
anti	حریف مخالف
antler	شاخ سینگ
antonymic	متضادی
antonym	متضاد ضد و نقیذ
ant	چونٹی چونٹا
a number of	بعض کئ
an	ایک یک
anxiety	اندوہ فکر فراق اضطراب غصہ کاہش خلش کھٹکا پریشانی پرواہ
anxious	بے چین بے کل پریشان
anybody	کوئ بھی
any number of	بہت سے بڑی مقدار میں
anyone	کوئ ایک کوئ فرد کوئ شخص
anything	کچھ کچھ بھی
anyway	با ہر طور خیر
any	کسی کوئ کچھ
anywhere	کہیں کہیں بھی کسی جگہ بھی
aorta	شہ رگ
apace	فوراً جلدی جلدی
apartment	اوطاق
a part	کچھ
apart	اکیلا الگ علیحدہ جدا
apathetic	بے حس پتھر دل سرد مہر
apathy	بے حسی بے پروائ
ape	نقل کرنا بندر
apex of angle	راس
apex	چوٹی
aphorism	کہاوت مسالہ ضرب المثل مقولہ
aphorist	بلیغ گو
aphotic	بے نور تاریک
aphrodisiac	شہوت انگیز
aping	نقل
aplenty	بکثرت کافی
aplomb	خود سے مطمئن عمودیت
apocalypse	الہام کشف
apocalyptic	الہامی کشفی
apocryphal	غیر مستند جعلی مشکوک
apodal	بے پایہ
apodosis	جزا
apogee	منتہیٰ کمال اوج ارض
apograph	ہو بہو نقل
apologetic	معذرت خواہ نادم
apologise	عذر کرنا معافی مانگنا
apologist	دفاع کرنے والا عذر خواہ
apology	معافی نامہ عذر
apophysis	گومڑا
apoplectic	مرگی کا مریض
apoplexy	بے حسی کی حالت مرگی سکتہ
apositia	کھانے سے نفرت
apostasy	الحاد ارتداد
apostate	مرتد
apostleship	نبوت رسالت
apostle	حواری رسول
apostolic	رسولی
apothecary	عطار دوا فروش دوا خانہ
apotheosis	خدا گردانی تجلیل تقدیس
appalled	ہیبت زدہ
appallingly	ہولناکی سے
appalling	ہولناک
appal	ڈرانا دھمکانا خوف دلانا فق ہونا ہیبت زدہ ہونا
appanage	وظیفہ
apparatus	رخت سامان ساز
apparel	کپڑے پہنانا سجانا لباس پیراہن
apparently	ظاہری ظاہراً
apparent	آشکارا معلوم فاش واضح ظاہر
apparition	عفریت بتال بھوت سایہ
appeal	عرض چارہ جوئ داد در خواست رجوع کرنا
appearance	درشن ڈول دیدار حج دکھائ حاضری حیثیت جلوہ گری نمود پیکر رنگ شکل رویت صورت طلعت وضع ظہور
appear	آ جانا دکھائ دینا دکھنا نظر آنا نمودار ہونا نکلنا پڑنا پھوٹنا سوجھنا
appeased	آسودہ کامیاب مطمئن راضی
appeaser	دل جوئ کرنے والا تسکین بخش
appease	آسودہ کرنا خاموش کرنا منانا راضی کرنا
appellant	داعی
appellation	اسم نام لقب وجہ تسمہ
appendage	اضافہ لاحقہ ضمیمہ
appended	منسلکہ متعلق
appendix	لاحقہ ضمیمہ
append	جوڑنا لاحق کرنا منسلک کرنا
appertaining	متعلق
appertain	خاصیت ہونا ملکیت ہونا
appetent	خواہاں شائق
appetiser	مشتہی
appetite	بھوک چاہت اشتہا جوع
applauder	تالی بجانے والا تعریف کرنے والا
applaud	داد دینا پسند کا اظہار کرنا سراہنا تعریف کرنا تالی بجانا
applause	داد شاباشی تعریف
apple of the eye	لاڈلا راج دلارا
apple	سیب
appliance	آلہ اسباب اوزار وسیلہ
applicability	موزونیت
applicable	کار آمد محمول صادق
applicant	عرضی دینے والا سائل
application	عرضی در خواست استعمال
applied	عملی اطلاقی
apply	لگانا منطبق کرنا نافذ کرنا لگنا نافذ ہونا
appointed	مامور مقرر مقرر کردہ مقرر شدہ
appointment	تعینات تقرر
appoint	مقرر کرنا نصب کرنا تعینات کرنا
apportion	بانٹنا حصہ کرنا
appose	لگانا نافذ کرنا سامنا کرنا
apposite	اہل لائق موافق مناسب
apposition	بدل پیوستگی
appraisal	قر و قیمت کا اندازہ وقعت کا اندازہ
appraiser	تخمینہ کار
appraise	آنکنا دام لگانا قیمت طے کرنا تخمینہ کرنا
appreciate	سراہنا
appreciation	قدر شاباشی
appreciator	قدر دان
apprehended	گرفتار
apprehend	ڈرنا غور کرنا گرفتار کرنا معنی سمجھنا
apprehension	ڈر گرفتاری خام خیالی خدشہ خلش خطرہ وجدان
apprenticeship	شاگردی
apprentice	چیلا شاگرد تلمیز
apprise	اطلاع دینا
apprize	قدر کرنا سراہنا
approachable	سہل
approaching	قریب
approach	رجع کرنا قریب آنا یاد دلانا رسائ
approbation	قبولی رضا
approof	آزمائش منظوری
appropriately	درستی سے مناسب طور پر
appropriateness	درستی موزونیت مناسبت
appropriate	مار لینا ضبط کرنا درست لائق مناسب
appropriation	منظور کرنا
approval	منظوری مرضی پسند رضا
approved	مقبول منظور مستحسن روا
approver	گویندہ
approve	منظور کرنا پسند کرنا ساد کرنا منظور ہونا پسند ہونا
approximately	اندازاً کوئ قریب تقریباً
approximate	کچا
appui	حمایت
appurtenance	لواحقین
apricate	دھوپ سینکنا
apricot	خوبانی
apse	جھروکہ طاق
apterous	بے پر
aptness	موزونیت مناسبت
apt	مائل مستعد
aqua fortis	تیزاب
a quarter less than	پونا
a quarter more than	سوا
aquatic	آبی دریائ
aqua	آب پانی
aqueous	پانی دار
arable	قابل زراعت
arbiter	منصف ثالث
arbitrage	ثالثی
arbitrarily	حق نا حق
arbitrary	غیر مقید ترنگی
arbitration	فیصلہ ثالثی
arbitrator	پنچ ثالث
arboreal	شجری
arborous	شجری
arbor	درخت پیڑ
arbour	باغیچہ
arcade	رواق
arcanum	اکسیر کیمیا گری راز
archaic	قدیم
arched nisch	طاق
archer	تیر انداز
archery	تیر اندازی
architectural	عماریاتی
architecture	فن تعمیر
architect	بانی معمار
archly	چال بازی سے دادا گیری سے مکاری سے
arch	ڈاٹ کمان کمر
arctic	قطب شمالی
arc	قوس
ardent desire	آرزو اشتیاق شدید خواہش رغبت
ardent	جذباتی مشتاق پرجوش سرگرم شائق
ardour	حرارت
arduous	دشوار گزار مشکل
area	علاقہ حلقہ رقبہ وسعت
areca nut	سپاری
arena	اکھاڑا میدان
are	ہیں
argemone	دھتورا
argue	بحث کرنا دلیل لانا حجت کرنا جھگڑنا مباحثہ کرنا الجھ پڑنا
argument	بحث دلیل حجت جرح
aridity	بنجر پن خشکی یبوست
arid	بنجر خشک یابس
arise	اونچا ہونا اٹھنا
ark	کشتی
armchair	آرام کرسی
armed	مسلح
armistice	التوا جنگ
armlet	بازو بند
armoured dress	زرہ بکتر
armour plate	چار آئینہ
armour	بکتر جوشن زرہ
armpit	بغل
arm	ہتھیار باندھنا کمر باندھنا بانہ بازو ہاتھ اسلحہ
army camp	پڑاؤ اردو
army corp	جیش
army flank	کمر
army	عسکر بری فوج فوج لشکر سپاہ اردو
aromantically	رومانی انداز سے تخیل پرستی سے
aromatic	مہکتا ہوا خوشبو دار
aroma	بو باس خوشبو مہک
around	آس پاس گرد ارد گرد
aroused	بیدار جاگا ہوا مشتعل
arouse	بیدار کرنا بھڑکانا جگانا اکسانا اٹھنا
arranged	آراستہ سلسلہ وار
arrangement	آراستگی بند و بست انتظام نظم نظام قرینہ تدبیر تیاری ترتیب
arranger	متنطم
arrange	آراستہ کرنا بند و بست کرنا انتظام کرنا لگانا نظم دینا ترتیب دینا
arrant	بدنام پرلے درجے کا
arrayed	صف آرا
array	صف آرا کرنا سجانا ترتیب دینا لباس صف آرائ سجاوٹ ترتیب
arrears	بقایا ما باقی
arrested	گرفتار باقی
arrestee	گرفتار نظر بند
arrest	گرفتار کرنا جا لینا گرفتاری حراست نظر بندی پکڑ
arrival	آمد
arrived	موصول وارد
arrive	آنا پہنچنا وارد ہونا
arriving	وارد
arrogance	اینٹھ فرعونیت گستاخی مباحت نازش نشہ رعونت تکببر
arrogantly	غرور سے تکببر سے
arrogant	خود سر مغرور
arrogate	بے جا دعویٰ کرنا چیز مار لینا زبردستی ہتھیا لینا تکببر کرنا
arrowroot	اروی
arrow	ناوک تیر
arsenal	اسلحہ خانہ
arsenic	سنکھیا
arsonist	آتش زنی کرنے والا
arson	آتش زدگی آتش زنی
arterial	شریانی
artery	شریان
artficer	ہنر مند پیشہ ور صنعت کار
artfulness	چالاکی صفائ
artful	عیار چال باز فقرہ باز حیلہ ساز حرفتی مکار سیانا
Arthritis	گانٹھی کی بیماری گٹھیا
articles	سامان
article	بیان بابت چیز مقالہ مضمون شئے
articulate	صریح
articulation	طرز گفتار
artifice	فن گھات حرفت تدبیر
artificiality	بناوٹ تصنوع
artificially	مصنوعی طور پر
artificial	بناوٹی مصنوعی نقلی پرتصنوع ساختہ
artillery	توپ خانہ
artisan	دستکار کاری گر ہنر مند ماہر
artistic	فنکارانہ
artistic work	کاریگری
artist	مصور صنعت گر صنعت کار
artless	بے ساختہ سیدھا
art	فن حرفت ہنر کاری گری کمال کرتب کسب
Aryan	آریائ
asafoetida	ہینگ
as below	ذیل میں
ascendancy	چڑھائ غلبہ
ascending	چڑھتا ہوا فراز ابھرتا ہوا
ascend	چڑھنا اوپر چڑھنا
ascension	چڑھاؤ رفعت عروج
ascent	چڑھائ فراز عروج اٹھان
ascertainment	اثبات دریافت تحقیق تیقن
ascertain	معلوم کرنا معین کرنا ثابت کرنا
