اتھاہ	bottomless unfathomable deep
اِستعباد	enslavement
اِستعجاب	astonishment amazement surprise wonder
اِستعجال	quicken accelerate haste
اِستعداد	competency ability ingenuity proficiency capacity
اِستعذار	apology
اِستعفا	relinquishment
اِستعلا	elevation supremacy superiority exaltation
اِستعلام	awareness
اِستعلان	announcement communication propagation
اِستعمار	settlement colonization immigration
اِستعماری	colonial imperialistic imperialist
اِستعماریت	colonialism
اِستعمال	utilization operation application usage employment use
اِستعمالی	use
اِستغاثہ	complaint complainant plaintiff lawsuit
اِستغراب	bewilderment marvel amazement surprise wonder
اِستغراق	immersion absorption
اِستفادہ	benefit profit advantage
اِستفاضہ	benefit
اِستفاق	convalescence
اِستفال	fall descent
اِستفراغ	vomit reject emit abhorrence
اِستفسار	query enquiry question interrogation
اِستفلاح	betterment charity
اِستفہام	investigation enquiry question interrogation
اِستفہامی	interrogative
اِستقامت	steadiness firmness
اِستقبال	welcome reception
اِستقبالیہ	reception
اِستقداس	holiness reverence
اِستقدام	precede
اِستقرا	search quest
اِستقرار	stay confirmation recognition rest ratification
اِستقراض	borrow
اِستقرائی	inductive
اِستقصا	encapsulation
اِستقلال	self independence resolution perseveration firmness constancy stability
اِستکبار	vainglory haughtiness pride conceit
اِستکثار	multitude plenty greed abundance
اِستکراہ	dislike aversion loathing repugnance abhorrence
اِستکشاف	exposition manifestation
اِستکمال	completion accomplishment perfection
استل	hermitage
اِستلام	kiss
اِستلذاذ	enjoyment
اِستلزام	essentiality
اِستماع	audition hear listen
اِستمالت	wheedle coax cajole persuasion
اِستمتاع	enjoy
اِستمداد	help
اِستمرار	continuance continuation perpetuity
اِستمراری	last perpetual uninterrupted
اِستمساک	self
اِستملا	dictation
اِستنباط	extraction inference derivation
اِستنتاج	inference conclusion
اِستنجا	lavation
اِستنساخ	etc calligraphy
اِستنشاق	inhale
اِستنفار	dislike revulsion
اِستنکار	rejection refutation
اِستوا	parity parallelism evenness equality
اُستُوار	stayable firm level powerful equal strong even
اُستُواری	strength firmness constancy determination stability
اُستُوانہ	cylinder
اُستُوانی	cylindrical
اِستوائی	equatorial
اِستہزا	jest ridicule derision jeer
اِستہزائیہ	derisive
اِستہلاک	ruin engrossment destroy
اِستہلال	emphasis
اِستیثار	covetousness greed
اِستیصال	uproot eradication
اِستیصالی	eradicative
اِستیفا	completion accomplishment
اِستیلا	seize rule dominance command control
اِستیناس	attachment affection intimacy
اِستیناف	appeal
استھان	abode place temple quarter residence
اِسٹام	etc
اِسٹُوپا	stupa
اِسٹیج	dai stage
اسحار	morning
اسحیہ	meninge membrane
اسد	lion leo
اَسُر	fiend demon cruel
اُسر	imprisonment incarceration
اسرار	mystery secret
اِسرار	ghost spectre
اِسراع	acceleration
اِسراف	waste extravagance
اِسرائیل	israel
اِسرائیلی	jewish
اُسرُب	lead
اسرع	rapid
اسطبل	stable
اُسطرلاب	astrolabe
اُسطُوانہ	cylinder
اُسطور	myth
اِسعاف	prayer
اسف	anger sorrow remorse repentance
اسفار	volume travel voyage journey register roll writing
اِسفار	dawn
اسفل	nethermost inferior infernal
اِسفنج	sponge
اِسفنجی	spongy
اِسفندار	isfendiyar
اِسفین	wedge
اِسقاط	abortion miscarriage
اسقام	defect flaw disease ailment fault
اُسقُف	bishop
اِسقیل	squill
اسکات	ratline
اِسکات	calm
اِسکاچ	scotch scottish scot
اِسکاچستان	scotland
اِسکار	intoxication drunkenness
اِسکارف	kerchief ascot scarf
اِسکاف	cobbler
اِسکان	solace comfort consolation tranquillity
اُسکانا	instigate incite excite
اِسکربوط	scurvy
اِسکندری	royal
اِسکول	school
اسلاف	forefather ancestor
اِسلام	peace islam
اِسلامی	islamic muslim
اسلحہ	arm armour weapon
اُسلُوب	manner form method mode style syllogism way arrangement
اسَم	unusual dissimilar uneven unlike unequal
اِسم	appellation name denomination
اسمات	direction
اسما	noun name
اسماع	ear
اِسماعیلی	ismaili
اِسماعیلیہ	ismaili
اسمبَھو	impossible
اسمر	wheat
اِسمیّت	nominalism
اسناد	certificate diploma reason logic
اسنان	tooth age year
اسنیٰ	high
اسوار	rider cavalry horseman
اسواق	bazaar market
اسُوجھ	intangible hide
اسوچ	unimaginable negligent careless thoughtless unthinkable unconcerned satisfaction inconceivable carelessness
اسوَد	black
اسوَدی	blackish
اُسوہ	emulation model example
اِسہال	diarrhoea
اِسہام	share partnership
اسہنیہ	intolerable unbearable
اسئلہ	question
اسّی	eighty
اِسے	this
اسیر	bind tie prisoner captive
اسیری	confinement captivity imprisonment
اسیس	blessing benediction
اُش	alas ouch
اِشارات	symbol footnote hint coquetry sign clue
اِشارت	coquetry
اشارف	gentleman noble
اِشارہ	order etc sign suggestion indication command gesture signal coquetry symbol allusion
اِشارتاً	allusively
اِشارے	signal gesture hint
اِشاریت	symbolism
اِشاریہ	index
اِشاعت	diffusion edition circulation dissemination propagation publication publicity
اشانت	restless anxious
اشباح	body object
اِشباعی	elongated
اشباہ	precedent model example image
اِشباہ	similarity
اشبہ	resemble
اشُبھ	inauspicious unfavourable unfortunate unlucky
اِشتباہ	ambiguity suspicion distrust doubt
اِشتباہی	suspicious doubtful
اشتُت	commendation praise
اِشتداد	oppression intensity strictness severity
اُشتُر	camel
اِشترا	commerce purchase trade sell
اِشتراک	participation collaboration co socialism partnership fellowship
اِشتراکی	socialist
اِشتراکیت	socialism
اِشتعال	provocation blaze burn anger instigation excitation foment
اِشتعالک	excitement brawl
اِشتعالہ	etc
اِشتعالی	provocative
اِشتغال	occupation avocation business employment
اِشتقاق	appearance
اِشتقاقیات	etymology
اُشتُلُم	tumult noise ferocity force etc brawl
اِشتمال	inclusion
اِشتمالی	communist communistic
اِشتمالیت	communism
اِشتمام	fragrance smell
اِشتہا	appetite urge desire longing wish hunger
اِشتہاد	testimony evidence
اِشتہار	etc notification advertisement proclamation handbill announcement
اِشتہاری	advertise proclaim
اِشتیاق	desire yearn crave
اِشٹام	seal stamp
اشٹم	eighth
اشجار	tree
اشجع	brave
اشخاص	people man person
اشد	excessive strict severe staunch
اشُدھ	unholy impure
اِشراب	injection
اشرار	wicked mischievous mischief
اشراف	aristocrat gentleman noble
اشرافی	aristocratic
اشرافیہ	aristocracy
اِشراق	revelation daybreak dawn brilliancy telepathy sunrise radiance clairvoyance
اِشراقی	platonist
اِشراقیت	irradiation
اِشراک	polytheism participate share co
اشربہ	beverage
اشرف	noble gentleman
اشعار	distich hair couplet verse
اِشعار	inform
اِشعاع	radiation transmission
اشِعہ	beam
اشغال	occupation engagement employment pastime
اُشغُلہ	fabrication lie
اشفاق	kindness compassion favour
اِشفاق	tenderness kindness affection
اِشقاق	consequence corollary aftermath
اُشقُلہ	lie
اشک	tear
اشکال	body idol shape appearance etc face statue
اِشکال	ambiguity suspicion difficulty doubt
اِشکالنا	jolt shake
اشکل	hard
اُشلک	allegation
اشمخ	high
اُشن	hot
اشنان	ablution bath purification wash
اشو	horse
اشوپت	chieftain
اشواق	interest desire
اِشہا	desire crave inclination
اشہاد	witness deponent
اشہب	grey horse ash
اشیا	good thing article effect chattel ware
اشیرباد	greeting approval favour approbation blessing
اصالتاً	basically definitely
اصباح	morning
اصحاب	comrade peer man gentleman friend
اصحاح	isaiah
اِصدار	issuance
اِصرار	obstinacy insistence persistence
اصراف	expenditure
اِصراف	prodigality extravagance
اِصطباغ	immersion die dip baptism
اصطبل	stable
اِصطخر	castle pond persepolis
اِصطفا	purity chasteness
اِصطفاف	catalogue classification
اِصطکاک	friction
اِصطلاح	phrase phraseology terminology
اِصطلاحاً	terminologically
اِصطلام	ruin uproot
اصعب	hard
اصغر	small young
اصفار	zero cipher
اصفر	saffron
اصفری	yellowish
اصفیٰ	clean
اصفیا	saint
اصل	true pure unadulterated capital origin real standard actual event etc prototype legitimate foundation pedigree begin source lineage original family base root
اصلا	absolutely entirely ever
اصلاً	really truly
اصلاب	generation offspring
اِصلاح	improvement correction rectification mend revision amendment recovery reform
اِصلاحی	reformative correct
اصلح	superior well
اصلی	ancestral intrinsic elementary pure true innate original inherent genuine essential real fundamental natural
اصلیّت	ability actuality reality level genuineness instinct base root foundation stature authenticity
اصم	surd
اصمّیت	lethargy indolence laziness
اصناف	sort genre specie variety kind
اصنام	icon idol
اصوات	sound voice noise
اصوَب	enhance
اُصول	tenet etc air water rule principle dogma doctrine dust
اُصولی	principled doctrinal
اُصولیت	essentialism
اصہار	in
اصہب	whitish
اصیل	maidservant unmixed high pure
اِضاعت	loss waste
اِضافت	appendage annexation
اِضافہ	increase increment annexation addition enhancement
اِضافی	supplementary genitive extra relative
اِضائت	illumination
اضبط	leave
اُضحوکہ	laugh joke
اضحی	sacrifice
اُضحیہّ	sacrifice
اضداد	detestation hostility opposite enmity
اِضراب	disobedience
اضرار	damage loss
اِضرار	damage
اِضطراب	irritation perturbation
اِضطرار	helplessness perturbation restlessness uneasiness irritation
اِضطراری	involuntary unpremeditated sudden impulsive
اِضعاف	triple etc
اضل	irreligious deviant
اضلاع	district part
اِضلال	astray
اِضمحلال	gloom dejection pensiveness weakness depression despondency
اضمِدہ	coating daub ointment
اِطاعت	allegiance subordination submission obedience
اُطاق	drawing room
اِطالت	extension deferment prolongation
اِطالوی	italian
اِطالیہ	italy
اطِبّا	doctor physician
اطراف	suburb around near boundary outskirt limb side
اطعِمہ	food meal
اطفال	child offspring toddler
اِطّلاع	intelligence intimation information notice knowledge announcement news report
اِطلاق	etc
اِطلاقی	applicable apply
اطلس	satin
اطلیہ	smear daub
اِطماح	ogle
اطماع	avarice covetousness greed
اِطمینان	composure reliance repose consolation respite trust satisfaction calmness confidence
اطناب	cable
اِطناب	lengthen verbosity prolongation
اطوار	manner mode habit conduct way deportment practice custom behaviour
اطیب	saintliest
اظلال	shadow
اظلم	tyrannical
اِظہار	demonstration testimony statement declaration visible reveal proclamation expression disclosure
اعاجم	non
اِعادہ	refresh revise echo repetition reiteration
اعادی	foe enemy
